Original Filename,Cloudflare ID,Title,Section ,subsection,Date ,Aspect,Published,Alt Text
birds.jpg,4ad4209f-7a14-417c-f87b-baeae1710100,birds,portfolio,NA,"December 24, 2024",03:02,Yes,Birds flying over the water in Florida
boots.jpg,30e49ea5-3b96-4b64-9892-4b0b040c9100,boots,portfolio,NA,"January 7, 2025",04:02,Yes,Woman's boots in Berlin
boy_on_horse.jpg,f828e2c6-6efd-4d7c-9042-fd963b7dd800,boy on horse,portfolio,NA,"August 12, 2023",05:02,Yes,Georgian Boy on Horse
brother.jpg,18618f3a-ed19-4385-06b8-d5202580c200,brother,portfolio,NA,"August 16, 2024",06:02,Yes,My brother sleeping with hairy back
charlie.jpg,d80876fb-3ec9-4e1d-5dac-278d6da48100,charlie,portfolio,NA,"August 16, 2024",07:02,Yes,Charlie coming out of the water shirtless
couple.jpg,cb38a771-2c2a-4a06-9e5d-34070681ff00,couple ,portfolio,NA,"May 5, 2025",08:02,Yes,Couple in a club embracing 
david.jpg,e40d3e7b-abc8-4d17-8e07-a11d4b683700,david,portfolio,NA,"August 16, 2024",09:02,Yes,David flexing his body
essex_street.jpg,e03d50d9-305b-467b-e186-16b2d6dd5a00,essex street,portfolio,NA,"September 3, 2024",10:02,Yes,Plastic film flying in subway
father_and_son.jpg,b4d0e7ed-b535-4026-f993-ed7a8a25c000,father_and_son,portfolio,NA,"July 19, 2023",11:02,Yes,Father embracing his son in Georgia
foot_in_shoe.jpg,4eebb110-8071-4cf9-540a-b94415799a00,foot in shoe,portfolio,NA,"September 18, 2024",12:02,Yes,Foot in Ballet that is too small
girl_by_church.jpg,3369d4a8-bde1-4fca-cbde-c2c02203a900,girl by church,portfolio,NA,"August 30, 2023",13:02,Yes,Girl outside church in Georgia 
girl_in_mask.jpg,75afd48d-78df-4ba7-4ec4-486ae75d6c00,girl in mask,portfolio,NA,"November 3, 2024",14:02,Yes,Woman in party wearing mask
hands.jpg,a4d5ff7e-bfca-4bcb-81b7-b0eda2adcb00,hands,portfolio,NA,"March 15, 2025",15:02,Yes,David having his face covered by many hands
jest.jpg,f3bef26e-1a52-4da6-e1ce-81453b99ec00,jest,portfolio,NA,"May 1, 2025",16:02,Yes,Girl poking her tounge out 
kiss.jpg,4b786d90-e7ee-4053-6a03-55ab4c83eb00,kiss ,portfolio,NA,"September 9, 2024",17:02,Yes,Two men kissing 
lio.jpg,41f464d0-708f-4c1d-cebf-57e04ab3a500,lio,portfolio,NA,"December 31, 2024",18:02,Yes,Lio in berlin looking down
magdalene.jpg,0d6044d6-ca76-421b-ede8-9cda96678700,magdalene,portfolio,NA,"April 26, 2025",19:02,Yes,protrait of Magdalene 
masks.jpg,cefbe4c3-34d8-4c11-ea44-66eace4ad700,masks,portfolio,NA,"November 3, 2024",20:02,Yes,two men wearing masks at party
memorial.jpg,f44a7674-9f3f-4980-fb95-6e839f51e600,memorial,portfolio,NA,"July 22, 2024",21:02,Yes,Holocaust memorial in berlin
pedro.jpg,abeae236-a489-48a7-9185-b9ebc7a1ff00,pedro,portfolio,NA,"November 23, 2024",22:02,Yes,Pedro in the studio 
protest.jpg,4ecef398-bf71-4384-6e25-ad1c321c1e00,protest,portfolio,NA,"October 15, 2023",23:02,Yes,large protest in Tbilisi with lots of smoke 
shower.jpg,ceda91ca-7326-499c-49e8-c9bf4edb1500,shower,portfolio,NA,"September 17, 2024",00:02,Yes,Women in shower with clothes 
smile.jpg,467aeba3-b5a9-47cd-9b4b-ebdac0576f00,smile,portfolio,NA,"September 19, 2024",01:02,Yes,woman smiling 
smoking.jpg,0820ea4c-5514-4f61-9a53-eceab46c0700,smoking,portfolio,NA,"October 4, 2023",02:02,Yes,man smoking 
tattoo.jpg,daffade6-ac28-46b2-217f-596d5e2a5200,tattoo,portfolio,NA,"January 6, 2025",03:02,Yes,Tattoo on friends back
yelling.jpg,c447bd00-b7c4-4f5d-1454-a63166ed7300,yelling,portfolio,NA,"December 31, 2024",04:02,Yes,Friend Yelling 